                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                 1.2469,                0.62903,                 1.0687,                0.58237,                0.13262,                 0.1802,                0.07047,                   2.93,                 4.9443,                 3.3645,             0.00051706,             0.00051706,             0.00051706
                    110,                 1.2538,                0.63239,                 1.0755,                0.19099,                0.14337,                0.16098,                0.07035,                  2.944,                 5.2733,                 3.1502,             0.00051156,             0.00051156,             0.00051156
                    111,                 1.2562,                0.63001,                 1.0695,                0.56771,                0.11828,                0.15136,                0.06811,                 2.8666,                 5.2836,                 3.1252,             0.00050606,             0.00050606,             0.00050606
                    112,                 1.2388,                0.62371,                 1.0718,                 0.8705,                0.12977,                0.15108,                 0.0584,                 2.9085,                 5.2853,                 3.3464,             0.00050056,             0.00050056,             0.00050056
                    113,                 1.2277,                0.62187,                 1.0549,                0.92797,                0.12903,                0.14957,                0.06608,                 2.8659,                 5.0076,                 3.3146,             0.00049506,             0.00049506,             0.00049506
                    114,                 1.2216,                0.61594,                 1.0513,                0.52465,                0.14695,                0.12836,                0.05126,                 2.8335,                 5.3461,                 3.2488,             0.00048956,             0.00048956,             0.00048956
                    115,                 1.2311,                0.61305,                 1.0614,                0.55832,                 0.1362,                0.15366,                0.06582,                 2.9466,                 5.3389,                 3.2541,             0.00048406,             0.00048406,             0.00048406
                    116,                 1.2216,                0.60337,                 1.0495,                0.88963,                0.12903,                0.14651,                0.06382,                 2.7754,                 5.8247,                 3.1006,             0.00047856,             0.00047856,             0.00047856
                    117,                 1.2212,                0.60942,                 1.0519,                0.52554,                0.15054,                 0.1687,                0.07503,                  2.765,                 5.2884,                 3.1107,             0.00047306,             0.00047306,             0.00047306
                    118,                 1.2235,                0.61404,                 1.0549,                0.59034,                0.12903,                0.16323,                0.07078,                 2.9476,                 5.2739,                 3.3173,             0.00046756,             0.00046756,             0.00046756
                    119,                 1.2236,                 0.6152,                 1.0532,                0.57848,                0.12903,                0.16055,                0.06746,                 2.7957,                 5.2825,                 3.2781,             0.00046206,             0.00046206,             0.00046206
                    120,                 1.2052,                0.59453,                 1.0424,                0.17109,                0.15412,                0.13085,                0.05395,                 2.8853,                   5.33,                 3.2942,             0.00045657,             0.00045657,             0.00045657
                    121,                 1.1986,                0.59758,                 1.0481,                 0.9263,                0.12629,                 0.1648,                0.06559,                 2.8997,                 5.2767,                  3.411,             0.00045107,             0.00045107,             0.00045107
                    122,                  1.226,                0.59577,                 1.0569,                0.93119,                0.13262,                0.16552,                0.06657,                 3.0392,                 5.3968,                 3.4954,             0.00044557,             0.00044557,             0.00044557
                    123,                 1.2089,                0.59786,                 1.0463,                 0.5216,                0.15054,                  0.162,                0.06583,                 3.0013,                 5.2532,                 3.3261,             0.00044007,             0.00044007,             0.00044007
                    124,                 1.2037,                0.60058,                 1.0454,                0.51603,                0.15215,                0.13295,                0.05748,                   2.95,                 5.7022,                 3.1455,             0.00043457,             0.00043457,             0.00043457
                    125,                 1.1942,                0.60386,                 1.0458,                0.60134,                0.12545,                0.17125,                0.07301,                 2.9629,                 5.2326,                 3.4013,             0.00042907,             0.00042907,             0.00042907
                    126,                 1.2105,                0.60053,                 1.0478,                0.52491,                0.15016,                 0.2042,                0.09276,                 2.9566,                  5.233,                 3.1853,             0.00042357,             0.00042357,             0.00042357
                    127,                 1.1879,                0.58741,                  1.045,                 0.5637,                0.13632,                0.17668,                0.07903,                 2.9249,                 5.1473,                 3.3228,             0.00041807,             0.00041807,             0.00041807
                    128,                 1.1952,                0.58692,                 1.0482,                0.56778,                 0.1362,                  0.161,                0.06936,                 2.9987,                 5.0087,                 3.2644,             0.00041257,             0.00041257,             0.00041257
                    129,                 1.1868,                0.58974,                 1.0433,                0.51663,                0.15054,                  0.164,                0.06971,                 3.0216,                 5.0529,                 3.3855,             0.00040707,             0.00040707,             0.00040707
                    130,                 1.1879,                0.59159,                 1.0331,                0.89439,                 0.1362,                 0.1661,                 0.0737,                 3.0243,                 4.8739,                 3.3932,             0.00040157,             0.00040157,             0.00040157
                    131,                 1.1631,                0.58232,                 1.0268,                0.92781,                0.12903,                0.17026,                0.07461,                  2.934,                  5.243,                 3.2508,             0.00039607,             0.00039607,             0.00039607
                    132,                 1.1737,                0.58268,                 1.0364,                0.92363,                0.12903,                0.24077,                 0.1081,                 3.0054,                 5.1241,                 3.4151,             0.00039057,             0.00039057,             0.00039057
                    133,                 1.1793,                0.59646,                 1.0395,                0.52013,                0.14695,                0.19986,                0.08801,                 2.9876,                 5.2323,                 3.3009,             0.00038507,             0.00038507,             0.00038507
                    134,                  1.173,                0.58676,                 1.0328,                0.51521,                0.14635,                0.13156,                0.05327,                 3.0684,                 5.3058,                 3.3748,             0.00037957,             0.00037957,             0.00037957
                    135,                 1.1619,                0.57651,                 1.0362,                 0.5242,                0.15367,                0.16336,                0.07434,                 2.9274,                 5.0304,                 3.3197,             0.00037407,             0.00037407,             0.00037407
                    136,                 1.1613,                0.57879,                 1.0293,                 0.5194,                0.15054,                0.16171,                0.06653,                 2.9878,                 5.2795,                 3.3153,             0.00036857,             0.00036857,             0.00036857
                    137,                 1.1646,                0.57807,                 1.0346,                0.17905,                0.15054,                0.15481,                 0.0625,                 2.9193,                 5.3839,                 3.1526,             0.00036307,             0.00036307,             0.00036307
                    138,                 1.1448,                0.56942,                 1.0201,                0.51944,                0.15412,                0.16321,                0.06936,                  2.947,                 5.1322,                 3.4634,             0.00035758,             0.00035758,             0.00035758
                    139,                 1.1564,                0.57717,                 1.0307,                0.52121,                0.15412,                0.23995,                0.11164,                  2.878,                 5.1673,                 3.2313,             0.00035208,             0.00035208,             0.00035208
                    140,                 1.1443,                0.57324,                  1.031,                0.51435,                0.15771,                0.22343,                0.08944,                 2.9569,                 5.1873,                 3.3653,             0.00034658,             0.00034658,             0.00034658
                    141,                  1.126,                0.56867,                 1.0197,                  0.909,                0.12903,                0.16246,                0.06903,                 3.0702,                 5.1834,                 3.4268,             0.00034108,             0.00034108,             0.00034108
                    142,                 1.1442,                0.56761,                 1.0231,                0.51905,                0.15412,                0.16959,                 0.0727,                 2.8868,                 5.2484,                 3.2504,             0.00033558,             0.00033558,             0.00033558
                    143,                  1.149,                 0.5661,                 1.0195,                0.52689,                0.15412,                0.16589,                 0.0686,                 2.9377,                 4.9187,                  3.321,             0.00033008,             0.00033008,             0.00033008
                    144,                  1.139,                0.55921,                 1.0179,                0.50866,                0.15113,                0.17111,                0.07269,                 2.9337,                 5.1308,                 3.1946,             0.00032458,             0.00032458,             0.00032458
                    145,                 1.1236,                0.56719,                 1.0172,                0.52405,                0.16129,                0.15548,                0.06445,                 3.0122,                 5.2436,                 3.5019,             0.00031908,             0.00031908,             0.00031908
                    146,                 1.1306,                0.56849,                 1.0191,                 0.5244,                0.15054,                0.15771,                0.06711,                 3.0015,                 5.3791,                 3.5299,             0.00031358,             0.00031358,             0.00031358
                    147,                 1.1285,                0.56098,                 1.0208,                0.52353,                0.15412,                 0.1659,                0.07013,                 2.9799,                 5.0328,                 3.6317,             0.00030808,             0.00030808,             0.00030808
                    148,                 1.1343,                0.56014,                  1.021,                0.52604,                0.15054,                0.17137,                0.07615,                 2.9287,                 5.3844,                 3.3121,             0.00030258,             0.00030258,             0.00030258
                    149,                 1.1122,                0.55437,                 1.0204,                0.51886,                0.15771,                0.15941,                0.06651,                 3.0011,                  5.697,                 3.4747,             0.00029708,             0.00029708,             0.00029708
